Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %
Slovenia,1205.0,,53.0,,150.0,1002.0,35.0,580.0,25.0,34851.0,16764.0,4.4,2078938.0,103.0,20140.0,45.0,55.0
Bahrain,1136.0,,6.0,,558.0,572.0,4.0,668.0,4.0,63973.0,37596.0,0.53,1701575.0,2239.0,760.0,32.0,89.0
Azerbaijan,1098.0,,11.0,,250.0,837.0,27.0,108.0,1.0,66677.0,6576.0,1.0,10139177.0,123.0,82658.0,32.0,56.0
Lithuania,1053.0,,23.0,,97.0,933.0,14.0,387.0,8.0,40712.0,14955.0,2.18,2722289.0,43.0,62674.0,45.0,71.0
Armenia,1013.0,,13.0,,197.0,803.0,30.0,342.0,4.0,7164.0,2418.0,1.28,2963243.0,104.0,28470.0,35.0,63.0
Bosnia and Herzegovina,1009.0,,39.0,,193.0,777.0,4.0,308.0,12.0,10975.0,3345.0,3.87,3280819.0,64.0,51000.0,43.0,52.0
Hong Kong,1005.0,,4.0,,360.0,641.0,13.0,134.0,0.5,96709.0,12900.0,0.4,7496981.0,7140.0,1050.0,45.0,
Kazakhstan,961.0,10.0,10.0,,99.0,852.0,21.0,51.0,0.5,69304.0,3691.0,1.04,18776707.0,7.0,2699700.0,31.0,58.0
Uzbekistan,865.0,,4.0,,66.0,795.0,8.0,26.0,0.1,70000.0,2091.0,0.46,33469203.0,79.0,425400.0,28.0,50.0
North Macedonia,828.0,,34.0,,41.0,753.0,15.0,397.0,16.0,8057.0,3867.0,4.11,2083374.0,83.0,25220.0,39.0,59.0
Cameroon,820.0,,12.0,,98.0,710.0,,31.0,0.5,,,1.46,26545863.0,56.0,472710.0,19.0,56.0
Slovakia,742.0,,2.0,,23.0,717.0,5.0,136.0,0.4,27426.0,5023.0,0.27,5459642.0,114.0,48088.0,41.0,54.0
Tunisia,707.0,,31.0,,43.0,633.0,85.0,60.0,3.0,11238.0,951.0,4.38,11818619.0,76.0,155360.0,33.0,70.0
Bulgaria,675.0,,29.0,,68.0,578.0,36.0,97.0,4.0,18502.0,2663.0,4.3,6948445.0,64.0,108560.0,45.0,76.0
Cuba,669.0,,18.0,,92.0,559.0,11.0,59.0,2.0,15057.0,1329.0,2.69,11326616.0,106.0,106440.0,42.0,78.0
Latvia,651.0,,5.0,,16.0,630.0,2.0,345.0,3.0,28214.0,14958.0,0.77,1886198.0,30.0,62200.0,44.0,69.0
Andorra,638.0,,29.0,,128.0,481.0,17.0,8257.0,375.0,1673.0,21653.0,4.55,77265.0,164.0,470.0,,88.0
Cyprus,633.0,,11.0,,65.0,557.0,8.0,524.0,9.0,17923.0,14845.0,1.74,1207359.0,131.0,9240.0,37.0,67.0
Lebanon,630.0,,20.0,,80.0,530.0,34.0,92.0,3.0,15152.0,2220.0,3.17,6825445.0,667.0,10230.0,30.0,78.0
Bangladesh,621.0,,34.0,,39.0,548.0,1.0,4.0,0.2,9653.0,59.0,5.48,164689383.0,1265.0,130170.0,28.0,39.0
Afghanistan,607.0,,18.0,,32.0,557.0,,16.0,0.5,,,2.97,38928346.0,60.0,652860.0,18.0,25.0
Oman,599.0,,4.0,,109.0,486.0,3.0,117.0,0.8,,,0.67,5106626.0,16.0,309500.0,31.0,87.0
Costa Rica,595.0,,3.0,,56.0,536.0,14.0,117.0,0.6,6762.0,1327.0,0.5,5094118.0,100.0,51060.0,33.0,80.0
Ivory Coast,574.0,,5.0,,85.0,484.0,,22.0,0.2,,,0.87,26378274.0,83.0,318000.0,19.0,51.0
Ghana,566.0,,8.0,,4.0,554.0,2.0,18.0,0.3,37954.0,1221.0,1.41,31072940.0,137.0,227540.0,22.0,57.0
Niger,529.0,,12.0,,75.0,442.0,,22.0,0.5,4353.0,180.0,2.27,24206644.0,19.0,1266700.0,15.0,17.0
Burkina Faso,497.0,,27.0,,161.0,309.0,,24.0,1.0,,,5.43,20903273.0,76.0,273600.0,18.0,31.0
Uruguay,480.0,,8.0,1.0,231.0,241.0,15.0,138.0,2.0,8774.0,2526.0,1.67,3473730.0,20.0,175020.0,36.0,96.0
Albania,446.0,,23.0,,217.0,206.0,7.0,155.0,8.0,3877.0,1347.0,5.16,2877797.0,105.0,27400.0,36.0,63.0
Channel Islands,431.0,,9.0,,48.0,374.0,,2479.0,52.0,3320.0,19095.0,2.09,173863.0,915.0,190.0,43.0,30.0
Honduras,397.0,4.0,25.0,,7.0,365.0,10.0,40.0,3.0,1600.0,162.0,6.3,9904607.0,89.0,111890.0,24.0,57.0
Réunion,389.0,,,,40.0,349.0,3.0,434.0,,,,,895312.0,358.0,2500.0,36.0,100.0
Jordan,389.0,,7.0,,201.0,181.0,5.0,38.0,0.7,20500.0,2009.0,1.8,10203134.0,115.0,88780.0,24.0,91.0
Taiwan,388.0,,6.0,,109.0,273.0,,16.0,0.3,46547.0,1954.0,1.55,23816775.0,673.0,35410.0,42.0,79.0
Malta,378.0,,3.0,,44.0,331.0,4.0,856.0,7.0,17058.0,38633.0,0.79,441543.0,1380.0,320.0,43.0,93.0
Kyrgyzstan,377.0,,5.0,,54.0,318.0,5.0,58.0,0.8,9618.0,1474.0,1.33,6524195.0,34.0,191800.0,26.0,36.0
San Marino,356.0,,35.0,,53.0,268.0,14.0,10492.0,1032.0,846.0,24933.0,9.83,33931.0,566.0,60.0,,97.0
Bolivia,330.0,30.0,27.0,3.0,2.0,301.0,3.0,28.0,2.0,2185.0,187.0,8.18,11673021.0,11.0,1083300.0,26.0,69.0
Mauritius,324.0,,9.0,,42.0,273.0,3.0,255.0,7.0,7077.0,5565.0,2.78,1271768.0,626.0,2030.0,37.0,41.0
Nigeria,323.0,,10.0,,85.0,228.0,2.0,2.0,0.05,5000.0,24.0,3.1,206139589.0,226.0,910770.0,18.0,52.0
Palestine,290.0,,2.0,,58.0,230.0,,57.0,0.4,17329.0,3397.0,0.69,5101414.0,847.0,6020.0,21.0,80.0
Senegal,280.0,,2.0,,171.0,107.0,1.0,17.0,0.1,,,0.71,16743927.0,87.0,192530.0,19.0,49.0
Montenegro,272.0,,3.0,,5.0,264.0,7.0,433.0,5.0,2869.0,4568.0,1.1,628066.0,47.0,13450.0,39.0,68.0
Vietnam,262.0,,,,144.0,118.0,8.0,3.0,,121821.0,1252.0,,97338579.0,314.0,310070.0,32.0,38.0
Georgia,257.0,,3.0,,67.0,187.0,6.0,64.0,0.8,3271.0,820.0,1.17,3989167.0,57.0,69490.0,38.0,58.0
Guinea,250.0,,,,17.0,233.0,,19.0,,,,,13132795.0,53.0,245720.0,18.0,39.0
DRC,234.0,,20.0,,16.0,198.0,,3.0,0.2,,,8.55,89561403.0,40.0,2267050.0,17.0,46.0
Isle of Man,228.0,,2.0,,112.0,114.0,11.0,2681.0,24.0,1934.0,22744.0,0.88,85033.0,149.0,570.0,,53.0
Djibouti,214.0,,2.0,,36.0,176.0,,217.0,2.0,4451.0,4505.0,0.93,988000.0,43.0,23180.0,27.0,79.0
Sri Lanka,210.0,,7.0,,56.0,147.0,1.0,10.0,0.3,4525.0,211.0,3.33,21413249.0,341.0,62710.0,34.0,18.0
Kenya,197.0,,8.0,,25.0,164.0,2.0,4.0,0.1,7449.0,139.0,4.06,53771296.0,94.0,569140.0,20.0,28.0
Mayotte,196.0,,3.0,,59.0,134.0,3.0,718.0,11.0,1350.0,4948.0,1.53,272815.0,728.0,375.0,20.0,46.0
Faeroe Islands,184.0,,,,157.0,27.0,,3766.0,,5509.0,112744.0,,48863.0,35.0,1396.0,,43.0
Venezuela,181.0,,9.0,,93.0,79.0,6.0,6.0,0.3,181335.0,6377.0,4.97,28435940.0,32.0,882050.0,30.0,
Guatemala,155.0,,5.0,,19.0,131.0,3.0,9.0,0.3,1134.0,63.0,3.23,17915568.0,167.0,107160.0,23.0,52.0
Martinique,155.0,,6.0,,50.0,99.0,19.0,413.0,16.0,,,3.87,375265.0,354.0,1060.0,47.0,92.0
Paraguay,147.0,13.0,6.0,,22.0,119.0,1.0,21.0,0.8,2262.0,317.0,4.08,7132538.0,18.0,397300.0,26.0,62.0
Guadeloupe,143.0,,8.0,,67.0,68.0,13.0,357.0,20.0,,,5.59,400124.0,237.0,1690.0,44.0,
Brunei,136.0,,1.0,,106.0,29.0,2.0,311.0,2.0,9884.0,22593.0,0.74,437479.0,83.0,5270.0,32.0,80.0
Gibraltar,129.0,,,,84.0,45.0,1.0,3829.0,,1558.0,46244.0,,33691.0,3369.0,10.0,,
Rwanda,126.0,,,,25.0,101.0,,10.0,,1966.0,152.0,,12952218.0,525.0,24670.0,20.0,18.0
El Salvador,125.0,,6.0,,21.0,98.0,3.0,19.0,0.9,6729.0,1037.0,4.8,6486205.0,313.0,20720.0,28.0,73.0
Cambodia,122.0,,,,77.0,45.0,1.0,7.0,,5768.0,345.0,,16718965.0,95.0,176520.0,26.0,24.0
Trinidad and Tobago,113.0,,8.0,,16.0,89.0,,81.0,6.0,1126.0,805.0,7.08,1399488.0,273.0,5130.0,36.0,52.0
Madagascar,106.0,,,,20.0,86.0,1.0,4.0,,,,,27691018.0,48.0,581795.0,20.0,39.0
Mali,105.0,,9.0,,22.0,74.0,,5.0,0.4,,,8.57,20250833.0,17.0,1220190.0,16.0,44.0
Monaco,93.0,,1.0,,6.0,86.0,5.0,2370.0,25.0,,,1.08,39242.0,26337.0,1.0,,
Aruba,92.0,,,,32.0,60.0,1.0,862.0,,1145.0,10724.0,,106766.0,593.0,180.0,41.0,44.0
French Guiana,86.0,,,,51.0,35.0,1.0,288.0,,,,,298682.0,4.0,82200.0,25.0,87.0
Liechtenstein,79.0,,1.0,,55.0,23.0,,2072.0,26.0,900.0,23605.0,1.27,38128.0,238.0,160.0,,15.0
Togo,76.0,,3.0,,29.0,44.0,,9.0,0.4,2532.0,306.0,3.95,8278724.0,152.0,54390.0,19.0,43.0
Jamaica,72.0,,4.0,,16.0,52.0,,24.0,1.0,907.0,306.0,5.56,2961167.0,273.0,10830.0,31.0,55.0
Ethiopia,71.0,,3.0,,10.0,58.0,,0.6,0.03,3863.0,34.0,4.23,114963588.0,115.0,1000000.0,19.0,21.0
Barbados,71.0,,4.0,,11.0,56.0,4.0,247.0,14.0,805.0,2801.0,5.63,287375.0,668.0,430.0,40.0,31.0
Congo,60.0,,5.0,,5.0,50.0,,11.0,0.9,,,8.33,5518087.0,16.0,341500.0,19.0,70.0
Bermuda,57.0,,4.0,,29.0,24.0,2.0,915.0,64.0,416.0,6680.0,7.02,62278.0,1246.0,50.0,,97.0
Uganda,54.0,,,,4.0,50.0,,1.0,,5025.0,110.0,,45741007.0,229.0,199810.0,17.0,26.0
Cayman Islands,53.0,,1.0,,6.0,46.0,3.0,806.0,15.0,536.0,8156.0,1.89,65722.0,274.0,240.0,,97.0
French Polynesia,53.0,,,,,53.0,1.0,189.0,,889.0,3165.0,,280908.0,77.0,3660.0,34.0,64.0
Sint Maarten,50.0,,9.0,,5.0,36.0,2.0,1166.0,210.0,134.0,3125.0,18.0,42876.0,1261.0,34.0,,96.0
Liberia,50.0,,5.0,,3.0,42.0,,10.0,1.0,,,10.0,5057681.0,53.0,96320.0,19.0,53.0
Gabon,49.0,,1.0,,1.0,47.0,,22.0,0.4,,,2.04,2225734.0,9.0,257670.0,23.0,87.0
Bahamas,46.0,,8.0,,5.0,33.0,1.0,117.0,20.0,,,17.39,393244.0,39.0,10010.0,32.0,86.0
Macao,45.0,,,,10.0,35.0,1.0,69.0,,,,,649335.0,21645.0,30.0,39.0,
Guyana,45.0,,6.0,,8.0,31.0,3.0,57.0,8.0,193.0,245.0,13.33,786552.0,4.0,196850.0,27.0,27.0
Zambia,43.0,,2.0,,30.0,11.0,1.0,2.0,0.1,1239.0,67.0,4.65,18383955.0,25.0,743390.0,18.0,45.0
Myanmar,41.0,,4.0,,2.0,35.0,,0.8,0.07,1406.0,26.0,9.76,54409800.0,83.0,653290.0,29.0,31.0
Guinea-Bissau,38.0,,,,,38.0,,19.0,,1500.0,762.0,,1968001.0,70.0,28120.0,19.0,45.0
Benin,35.0,,1.0,,5.0,29.0,,3.0,0.08,,,2.86,12123200.0,108.0,112760.0,19.0,48.0
Eritrea,34.0,,,,,34.0,,10.0,,,,,3546421.0,35.0,101000.0,19.0,63.0
Haiti,33.0,,3.0,,,30.0,,3.0,0.3,365.0,32.0,9.09,11402528.0,414.0,27560.0,24.0,57.0
Tanzania,32.0,,3.0,,5.0,24.0,,0.5,0.05,,,9.38,59734218.0,67.0,885800.0,18.0,37.0
Saint Martin,32.0,,2.0,,11.0,19.0,5.0,828.0,52.0,,,6.25,38666.0,730.0,53.0,,0.0
Libya,25.0,,1.0,,9.0,15.0,,4.0,0.1,535.0,78.0,4.0,6871292.0,4.0,1759540.0,29.0,78.0
Syria,25.0,,2.0,,5.0,18.0,,1.0,0.1,,,8.0,17500658.0,95.0,183630.0,26.0,60.0
Somalia,25.0,,1.0,,2.0,22.0,2.0,2.0,0.06,,,4.0,15893222.0,25.0,627340.0,17.0,47.0
Equatorial Guinea,21.0,,,,3.0,18.0,,15.0,,854.0,609.0,,1402985.0,50.0,28050.0,22.0,73.0
Antigua and Barbuda,21.0,,2.0,,,19.0,1.0,214.0,20.0,40.0,408.0,9.52,97929.0,223.0,440.0,34.0,26.0
Mozambique,21.0,,,,2.0,19.0,,0.7,,679.0,22.0,,31255435.0,40.0,786380.0,18.0,38.0
Maldives,20.0,,,,14.0,6.0,,37.0,,,,,540544.0,1802.0,300.0,30.0,35.0
Sudan,19.0,,2.0,,2.0,15.0,,0.4,0.05,,,10.53,43849260.0,25.0,1765048.0,20.0,35.0
Angola,19.0,,2.0,,4.0,13.0,,0.6,0.06,,,10.53,32866272.0,26.0,1246700.0,17.0,67.0
Laos,19.0,,,,,19.0,,3.0,,1140.0,157.0,,7275560.0,32.0,230800.0,24.0,36.0
New Caledonia,18.0,,,,1.0,17.0,,63.0,,2608.0,9135.0,,285498.0,16.0,18280.0,34.0,72.0
Chad,18.0,,,,2.0,16.0,,1.0,,,,,16425864.0,13.0,1259200.0,17.0,23.0
Mongolia,17.0,1.0,,,4.0,13.0,,5.0,,,,,3278290.0,2.0,1553560.0,28.0,67.0
Dominica,16.0,,,,8.0,8.0,,222.0,,345.0,4793.0,,71986.0,96.0,750.0,,74.0
Fiji,16.0,,,,,16.0,,18.0,,,,,896445.0,49.0,18270.0,28.0,59.0
Namibia,16.0,,,,3.0,13.0,,6.0,,362.0,142.0,,2540905.0,3.0,823290.0,22.0,55.0
Saint Lucia,15.0,,,,4.0,11.0,,82.0,,,,,183627.0,301.0,610.0,34.0,19.0
Eswatini,14.0,,,,7.0,7.0,,12.0,,,,,1160164.0,67.0,17200.0,21.0,30.0
Curaçao,14.0,,1.0,,8.0,5.0,,85.0,6.0,,,7.14,164093.0,370.0,444.0,42.0,89.0
Grenada,14.0,,,,,14.0,2.0,124.0,,92.0,818.0,,112523.0,331.0,340.0,32.0,35.0
Belize,14.0,,2.0,,,12.0,1.0,35.0,5.0,364.0,915.0,14.29,397628.0,17.0,22810.0,25.0,46.0
Zimbabwe,14.0,,3.0,,,11.0,,0.9,0.2,563.0,38.0,21.43,14862924.0,38.0,386850.0,19.0,38.0
Malawi,13.0,,2.0,,,11.0,1.0,0.7,0.1,287.0,15.0,15.38,19129952.0,203.0,94280.0,18.0,18.0
Botswana,13.0,,1.0,,,12.0,,6.0,0.4,3115.0,1325.0,7.69,2351627.0,4.0,566730.0,24.0,73.0
Nepal,12.0,,,,1.0,11.0,,0.4,,5184.0,178.0,,29136808.0,203.0,143350.0,25.0,21.0
St. Vincent Grenadines,12.0,,,,1.0,11.0,,108.0,,56.0,505.0,,110940.0,284.0,390.0,33.0,53.0
Seychelles,11.0,,,,,11.0,,112.0,,,,,98347.0,214.0,460.0,34.0,56.0
Greenland,11.0,,,,11.0,0.0,,194.0,,912.0,16065.0,,56770.0,0.0,410450.0,,87.0
Montserrat,11.0,2.0,,,1.0,10.0,1.0,2204.0,,36.0,7212.0,,4992.0,50.0,100.0,,10.0
Sierra Leone,10.0,,,,,10.0,,1.0,,,,,7976983.0,111.0,72180.0,19.0,43.0
Suriname,10.0,,1.0,,4.0,5.0,,17.0,2.0,,,10.0,586632.0,4.0,156000.0,29.0,65.0
Turks and Caicos,9.0,,1.0,,,8.0,,232.0,26.0,62.0,1601.0,11.11,38717.0,41.0,950.0,,89.0
Gambia,9.0,,1.0,,2.0,6.0,,4.0,0.4,281.0,116.0,11.11,2416668.0,239.0,10120.0,18.0,59.0
Nicaragua,9.0,,1.0,,4.0,4.0,,1.0,0.2,,,11.11,6624554.0,55.0,120340.0,26.0,57.0
Cabo Verde,8.0,,1.0,,1.0,6.0,,14.0,2.0,,,12.5,555987.0,138.0,4030.0,28.0,68.0
Mauritania,7.0,,1.0,,2.0,4.0,,2.0,0.2,496.0,107.0,14.29,4649658.0,5.0,1030700.0,20.0,57.0
St. Barth,6.0,,,,4.0,2.0,,607.0,,,,,9877.0,470.0,21.0,,0.0
Western Sahara,6.0,,,,,6.0,,10.0,,,,,597339.0,2.0,266000.0,28.0,87.0
Burundi,5.0,,,,,5.0,,0.4,,,,,11890784.0,463.0,25680.0,17.0,14.0
Falkland Islands,5.0,,,,1.0,4.0,,1437.0,,137.0,39368.0,,3480.0,0.0,12170.0,,66.0
Bhutan,5.0,,,,2.0,3.0,,6.0,,1166.0,1511.0,,771608.0,20.0,38117.0,28.0,46.0
South Sudan,4.0,,,,,4.0,,0.4,,,,,11193725.0,18.0,610952.0,19.0,25.0
Anguilla,3.0,,,,,3.0,,200.0,,,,,15003.0,167.0,90.0,,
