Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %,CODE
Suriname,10.0,,1.0,,6.0,3.0,,17.0,2.0,,,10.0,586632.0,4.0,156000.0,29.0,65.0,MSR
Nicaragua,9.0,,2.0,,6.0,1.0,,1.0,0.3,,,22.22,6624554.0,55.0,120340.0,26.0,57.0,GRL
Gambia,9.0,,1.0,,2.0,6.0,,4.0,0.4,316.0,131.0,11.11,2416668.0,239.0,10120.0,18.0,59.0,SUR
Mauritania,7.0,,1.0,,6.0,0.0,,2.0,0.2,913.0,196.0,14.29,4649658.0,5.0,1030700.0,20.0,57.0,NIC
Papua New Guinea,7.0,,,,,7.0,,0.8,,167.0,19.0,,8947024.0,20.0,452860.0,22.0,13.0,GMB
Western Sahara,6.0,,,,,6.0,,10.0,,,,,597339.0,2.0,266000.0,28.0,87.0,PNG
St. Barth,6.0,,,,5.0,1.0,,607.0,,,,,9877.0,470.0,21.0,,0.0,MRT
Burundi,5.0,,1.0,,,4.0,,0.4,0.08,80.0,7.0,20.0,11890784.0,463.0,25680.0,17.0,14.0,ESH
Bhutan,5.0,,,,2.0,3.0,,6.0,,8107.0,10507.0,,771608.0,20.0,38117.0,28.0,46.0,No data found for country
British Virgin Islands,4.0,,,,2.0,2.0,,132.0,,,,,30231.0,202.0,150.0,,52.0,BDI
South Sudan,4.0,,,,,4.0,,0.4,,,,,11193725.0,18.0,610952.0,19.0,25.0,BTN
Anguilla,3.0,,,,1.0,2.0,,200.0,,,,,15003.0,167.0,90.0,,,VGB
Caribbean Netherlands,3.0,,,,,3.0,,114.0,,10.0,381.0,,26223.0,80.0,328.0,,75.0,SSD
Yemen,1.0,,,,,1.0,,0.03,,,,,29825964.0,56.0,527970.0,20.0,38.0,AIA
